Unnamed: 0,id,league_id,home_team,away_team,home_team_name,away_team_name,home_goals,away_goals,home_team_players_name,home_team_players_id,away_team_players_name,away_team_players_id
10,18867401,384,102,7743,Genoa,Salernitana,1,0,"['Josep Martínez', 'Aarón Martín', 'Radu Drăguşin', 'Albert Guðmundsson', 'Mattia Bani', 'Ruslan Malinovskyi', 'Mateo Retegui', 'Stefano Sabelli', 'Johan Vásquez', 'Morten Frendrup', 'Milan Badelj']","[529414, 186983, 23715982, 28454, 132132, 62872, 9302266, 131637, 1525399, 11705287, 31670]","['Domagoj Bradaric', 'Boulaye Dia', 'Guillermo Ochoa', 'Lassana Coulibaly', 'Jovane Cabral', 'Norbert Gyomber', 'Giulio Maggiore', 'Pasquale Mazzocchi', 'Matteo Lovato', 'Antonio Candreva', 'Lorenzo Pirola\xa0']","[3568416, 2206688, 95174, 96540, 163034, 129686, 131849, 430097, 34874535, 128451, 23288050]"
11,18867400,384,708,397,Atalanta,Empoli,3,0,"['Juan Musso', 'Teun Koopmeiners', 'Ademola Lookman', 'Éderson', 'Marten de Roon', 'Berat Djimsiti', 'Matteo Ruggeri', 'Sead Kolašinac', 'Hans Hateboer', 'Giorgio Scalvini', 'Gianluca Scamacca']","[333616, 29184, 5321, 545244, 1717, 132671, 24837941, 31661, 25087, 37343966, 30178]","['Sebastian Walukiewicz', 'Alberto Grassi', 'Francesco Caputo', 'Liberato Cacace', 'Razvan Marin', 'Matteo Cancellieri', 'Tyronne Ebuehi', 'Nicolò Cambiaghi', 'Youssef Maleh', 'Sebastiano Luperto', 'Etrit Berisha']","[1452150, 129447, 130873, 324712, 64202, 37544805, 25335, 34443308, 132249, 129968, 129456]"
12,18867399,384,585,4070,Cagliari,Frosinone,4,3,"['Edoardo Goldaniga', 'Alberto Dossena', 'Marco Mancosu', 'Nahitan Nández', 'Alessandro Deiola', 'Matteo Prati', 'Jakub Jankto', 'Simone Scuffet', 'Tommaso Augello', 'Antoine Makoumbou', 'Zito Luvumbo']","[129860, 133218, 128294, 260860, 130042, 37565251, 129824, 129635, 366753, 540694, 37341868]","['Riccardo Marchizza', 'Marco Brescianini', 'Simone Romagnoli', 'Jaime Báez', 'Marvin Cuni', 'Reinier', 'Matías Soulé', 'Pol Lirola', 'Ilario Monterisi', 'Enzo Barrenechea', 'Stefano Turati']","[129823, 20333755, 129155, 132528, 8409959, 31607851, 37529822, 130063, 37372373, 37347355, 2511148]"
13,18867398,384,7790,346,Lecce,Udinese,1,0,"['Marin Pongracic', 'Federico Baschirotto', 'Pontus Almqvist', 'Nikola Krstovic', 'Rémi Oudin', 'Valentin Gendrey', 'Ylber Ramadani', 'Antonino Gallo', 'Gabriel Strefezza', 'Wladimiro Falcone', 'Mohamed Kaba']","[36681, 435939, 460392, 149150, 99325, 8415421, 50828, 21054913, 133364, 129272, 37407220]","['Marco Silvestri', 'Isaac Success', 'Walace', 'Hassane Kamara', 'João Ferreira', 'Nehuén Pérez', 'Lazar Samardžić', 'Florian Thauvin', 'Christian Kabasele', 'Jaka Bijol', 'Roberto Pereyra']","[3178, 4766, 33719, 97608, 23278609, 8417290, 23707373, 4237, 4765, 1548632, 4764]"
14,18867397,384,613,2930,Torino,Inter,0,2,"['Perr Schuurs', 'Pietro Pellegri', 'Ricardo Rodríguez', 'Nikola Vlasic', 'Raoul Bellanova', 'Valentino Lazaro', 'Demba Seck\xa0', 'Samuele Ricci', 'Vanja Milinkovic-Savic', 'Adrien Tamèze', 'Karol Linetty']","[28648, 133957, 31653, 73906, 8417828, 52296, 37540122, 20716664, 155896, 96060, 130011]","['Yann Sommer', 'Stefan de Vrij', 'Marcus Thuram', 'Lautaro Martínez', 'Francesco Acerbi\xa0', 'Hakan Calhanoglu', 'Henrikh Mkhitaryan', 'Nicolò Barella', 'Benjamin Pavard', 'Federico Dimarco', 'Matteo Darmian']","[32193, 24015, 99000, 333594, 128873, 31825, 1835, 130117, 35574, 129842, 933]"
15,18867396,384,2714,43,Sassuolo,Lazio,0,2,"['Marcus Pedersen', 'Uroš Račić', 'Andrea Pinamonti', 'Domenico Berardi', 'Gian Marco Ferrari', 'Samu Castillejo', 'Jeremy Toljan', 'Daniel Boloca', 'Ruan', 'Armand Laurienté', 'Andrea Consigli']","[16546879, 1068598, 134034, 129553, 129971, 186321, 31855, 741626, 9302763, 432840, 128446]","['Patric', 'Felipe Anderson', 'Mattéo Guendouzi', 'Pedro', 'Luis Alberto', 'Alessio Romagnoli', 'Valentin Castellanos', 'Manuel Lazzari', 'Nicolò Rovella', 'Adam Marušić', 'Ivan Provedel']","[129706, 129454, 97087, 1923, 827, 129202, 524055, 131999, 30482209, 62427, 132128]"
16,18867395,384,7743,585,Salernitana,Cagliari,1,2,"['Domagoj Bradaric', 'Boulaye Dia', 'Federico Fazio', 'Lassana Coulibaly', 'Grigoris Kastanos', 'Jovane Cabral', 'Norbert Gyomber', 'Giulio Maggiore', 'Pasquale Mazzocchi', 'Benoît Costil', 'Antonio Candreva']","[3568416, 2206688, 4154, 96540, 133987, 163034, 129686, 131849, 430097, 95407, 128451]","['Edoardo Goldaniga', 'Alberto Dossena', 'Marco Mancosu', 'Nahitan Nández', 'Alessandro Deiola', 'Matteo Prati', 'Gaetano Oristanio', 'Simone Scuffet', 'Tommaso Augello', 'Antoine Makoumbou', 'Zito Luvumbo']","[129860, 133218, 128294, 260860, 130042, 37565251, 23288059, 129635, 366753, 540694, 37341868]"
17,18867394,384,1628,37,Monza,Roma,0,1,"['Luca Caldirola', 'Roberto Gagliardini', 'José Machín', 'Lorenzo Colombo', 'Pedro Pereira', 'Michele Di Gregorio', 'Pablo Marí', 'Andrea Colpani', 'Matteo Pessina', ""Danilo D'Ambrosio"", 'Georgios Kyriakopoulos']","[23987, 129396, 129689, 32777439, 129907, 752045, 186159, 16120895, 367822, 129208, 109096]","['Rui Patrício', 'Rick Karsdorp', 'Bryan Cristante', 'Evan Ndicka', 'Andrea Belotti', 'Leandro Paredes', 'Houssem Aouar', 'Gianluca Mancini', 'Leonardo Spinazzola', 'Edoardo Bove', 'Romelu Lukaku']","[158453, 25144, 129467, 99534, 129528, 129419, 96959, 132259, 129433, 37546379, 995]"
18,18867393,384,113,625,Milan,Juventus,0,1,"['Davide Calabria', 'Yacine Adli', 'Olivier Giroud', 'Rafael Leão', 'Christian Pulišić', 'Tijjani Reijnders', 'Fikayo Tomori', 'Malick Thiaw', 'Alessandro Florenzi', 'Yunus Musah', 'Antonio Mirante']","[129769, 537347, 798, 540251, 32438, 3156873, 4655, 21762216, 129184, 28575698, 127729]","['Wojciech Szczęsny', 'Bremer', 'Federico Gatti', 'Manuel Locatelli', 'Filip Kostić', 'Arkadiusz Milik', 'Weston McKennie', 'Moise Kean', 'Timothy Weah', 'Daniele Rugani', 'Adrien Rabiot']","[805, 1167415, 37533245, 129890, 24235, 25355, 608189, 133769, 537332, 129624, 95694]"
19,18867392,384,1123,597,Hellas Verona,Napoli,1,3,"['Lorenzo Montipò', 'Bruno Amione', 'Josh Doig', 'Davide Faraoni', 'Milan Đurić', 'Martin Hongla', 'Giangiacomo Magnani', 'Suat Serdar', 'Cyril Ngonge', 'Paweł Dawidowicz', 'Michael Folorunsho']","[131615, 37261283, 37260591, 2832, 7802, 187074, 435908, 32392, 23269662, 35311, 368455]","['Alex Meret', 'Natan', 'Mário Rui', 'Amir Rrahmani\xa0', 'Piotr Zielinski', 'Matteo Politano', 'Giovanni Di Lorenzo', 'Jens Cajuste', 'Stanislav Lobotka', 'Khvicha Kvaratskhelia', 'Giacomo Raspadori']","[129638, 37402346, 129604, 49420, 129072, 129926, 132721, 194768, 27850, 1479337, 13238937]"
