id,sport_id,league_id,tie_breaker_rule_id,name,finished,pending,is_current,starting_at,ending_at,standings_recalculated_at,games_in_current_week,league
17420,1,8,1526,2020/2021,True,False,False,2020-09-12,2021-05-23,2023-05-24 09:17:59,False,"{'id': 8, 'sport_id': 1, 'country_id': 462, 'name': 'Premier League', 'active': True, 'short_code': 'UK PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/8/8.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 16:30:00', 'category': 1, 'has_jerseys': False}"
17361,1,82,169,2020/2021,True,False,False,2020-09-18,2021-05-22,2023-05-24 09:17:46,False,"{'id': 82, 'sport_id': 1, 'country_id': 11, 'name': 'Bundesliga', 'active': True, 'short_code': 'GER BI', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/82.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 18:30:00', 'category': 1, 'has_jerseys': False}"
17160,1,301,169,2020/2021,True,False,False,2020-08-21,2021-05-23,2023-05-24 09:16:56,False,"{'id': 301, 'sport_id': 1, 'country_id': 17, 'name': 'Ligue 1', 'active': True, 'short_code': 'FRA L1', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/13/301.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 19:45:00', 'category': 1, 'has_jerseys': False}"
16326,1,564,170,2019/2020,True,False,False,2019-08-16,2020-07-19,2023-05-24 09:13:45,False,"{'id': 564, 'sport_id': 1, 'country_id': 32, 'name': 'La Liga', 'active': True, 'short_code': 'ESP PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/20/564.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 20:00:00', 'category': 1, 'has_jerseys': False}"
16264,1,82,171,2019/2020,True,False,False,2019-08-16,2020-06-27,2023-05-24 09:13:26,False,"{'id': 82, 'sport_id': 1, 'country_id': 11, 'name': 'Bundesliga', 'active': True, 'short_code': 'GER BI', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/82.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 18:30:00', 'category': 1, 'has_jerseys': False}"
16043,1,301,169,2019/2020,True,False,False,2019-08-09,2020-05-23,2023-05-24 09:12:57,False,"{'id': 301, 'sport_id': 1, 'country_id': 17, 'name': 'Ligue 1', 'active': True, 'short_code': 'FRA L1', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/13/301.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 19:45:00', 'category': 1, 'has_jerseys': False}"
16036,1,8,1526,2019/2020,True,False,False,2019-08-09,2020-07-26,2023-05-24 09:12:55,False,"{'id': 8, 'sport_id': 1, 'country_id': 462, 'name': 'Premier League', 'active': True, 'short_code': 'UK PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/8/8.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 16:30:00', 'category': 1, 'has_jerseys': False}"
13133,1,564,169,2018/2019,True,False,False,2018-08-17,2019-05-19,2023-05-24 09:09:45,False,"{'id': 564, 'sport_id': 1, 'country_id': 32, 'name': 'La Liga', 'active': True, 'short_code': 'ESP PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/20/564.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 20:00:00', 'category': 1, 'has_jerseys': False}"
13005,1,82,169,2018/2019,True,False,False,2018-08-24,2019-05-18,2023-05-24 09:09:14,False,"{'id': 82, 'sport_id': 1, 'country_id': 11, 'name': 'Bundesliga', 'active': True, 'short_code': 'GER BI', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/82.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 18:30:00', 'category': 1, 'has_jerseys': False}"
12962,1,8,1526,2018/2019,True,False,False,2018-08-10,2019-05-12,2023-05-24 09:09:00,False,"{'id': 8, 'sport_id': 1, 'country_id': 462, 'name': 'Premier League', 'active': True, 'short_code': 'UK PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/8/8.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 16:30:00', 'category': 1, 'has_jerseys': False}"
12935,1,301,169,2018/2019,True,False,False,2018-08-10,2019-05-24,2023-05-24 09:08:56,False,"{'id': 301, 'sport_id': 1, 'country_id': 17, 'name': 'Ligue 1', 'active': True, 'short_code': 'FRA L1', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/13/301.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 19:45:00', 'category': 1, 'has_jerseys': False}"
8442,1,564,169,2017/2018,True,False,False,2017-08-18,2018-05-20,2023-05-24 09:06:17,False,"{'id': 564, 'sport_id': 1, 'country_id': 32, 'name': 'La Liga', 'active': True, 'short_code': 'ESP PL', 'image_path': 'https://cdn.sportmonks.com/images/soccer/leagues/20/564.png', 'type': 'league', 'sub_type': 'domestic', 'last_played_at': '2023-11-12 20:00:00', 'category': 1, 'has_jerseys': False}"
